code,number,object,warning,question,answer
1675259131_572466,1,interactablepen,Blur,7,5
1675259131_572466,1,interactablepen,Blur,8,1
1675259131_572466,1,interactablepen,Blur,9,1
1675259131_572466,1,interactablepen,Blur,10,5
1675259131_572466,1,interactablepen,Blur,11,5
1675259131_572466,2,lightswitch,,1,1
1675259131_572466,2,lightswitch,,2,5
1675259131_572466,2,lightswitch,,3,5
1675259131_572466,2,lightswitch,,4,1
1675259131_572466,2,lightswitch,,5,5
1675259131_572466,2,lightswitch,,6,1
1675259131_572466,2,lightswitch,,7,5
1675259131_572466,2,lightswitch,,8,1
1675259131_572466,2,lightswitch,,9,1
1675259131_572466,2,lightswitch,,10,5
1675259131_572466,2,lightswitch,,11,5
1675259131_572466,3,plantselector,blur,1,1
1675259131_572466,3,plantselector,blur,2,5
1675259131_572466,3,plantselector,blur,3,5
1675259131_572466,3,plantselector,blur,4,1
1675259131_572466,3,plantselector,blur,5,5
1675259131_572466,3,plantselector,blur,6,1
1675259131_572466,3,plantselector,blur,7,5
1675259131_572466,3,plantselector,blur,8,1
1675259131_572466,3,plantselector,blur,9,1
1675259131_572466,3,plantselector,blur,10,5
1675259131_572466,3,plantselector,blur,11,5
1675259131_572466,4,frame,,1,1
1675259131_572466,4,frame,,2,5
1675259131_572466,4,frame,,3,5
1675259131_572466,4,frame,,4,1
1675259131_572466,4,frame,,5,5
1675259131_572466,4,frame,,6,1
1675259131_572466,4,frame,,7,5
1675259131_572466,4,frame,,8,1
1675259131_572466,4,frame,,9,1
1675259131_572466,4,frame,,10,5
1675259131_572466,4,frame,,11,5
1677489136_157724,1,interactablepen,,1,1
1677489136_157724,1,interactablepen,,2,5
1677489136_157724,1,interactablepen,,3,5
1677489136_157724,1,interactablepen,,4,1
1677489136_157724,1,interactablepen,,5,5
1677489136_157724,1,interactablepen,,6,1
1677489136_157724,1,interactablepen,,7,5
1677489136_157724,1,interactablepen,,8,1
1677489136_157724,1,interactablepen,,9,1
1677489136_157724,1,interactablepen,,10,5
1677489136_157724,1,interactablepen,,11,5
1677489136_157724,2,lightswitch,red,1,1
1677489136_157724,2,lightswitch,red,2,5
1677489136_157724,2,lightswitch,red,3,4
1677489136_157724,2,lightswitch,red,4,1
1677489136_157724,2,lightswitch,red,5,4
1677489136_157724,2,lightswitch,red,6,1
1677489136_157724,2,lightswitch,red,7,5
1677489136_157724,2,lightswitch,red,8,1
1677489136_157724,2,lightswitch,red,9,1
1677489136_157724,2,lightswitch,red,10,5
1677489136_157724,2,lightswitch,red,11,5
1677489136_157724,3,plantselector,,1,2
